Tag,LocatorName,LocatorValue,LocatorType
h4,,/html/body/div[5]/div/div[2]/div/div[2]/div/div/h4,Xpath
a,Nokia lumia 1520,"//a[contains(text(), 'Nokia lumia 1520')]",Xpath
h5,,/html/body/div[5]/div/div[2]/div/div[2]/div/div/h5,Xpath
p,article,//p[@id='article'],Xpath
div,,/html/body/div[5]/div/div[2]/div/div[3],Xpath
div,,/html/body/div[5]/div/div[2]/div/div[3]/div,Xpath
a,,/html/body/div[5]/div/div[2]/div/div[3]/div/a,Xpath
img,,/html/body/div[5]/div/div[2]/div/div[3]/div/a/img,Xpath
div,,/html/body/div[5]/div/div[2]/div/div[3]/div/div,Xpath
h4,,/html/body/div[5]/div/div[2]/div/div[3]/div/div/h4,Xpath
a,Nexus 6,"//a[contains(text(), 'Nexus 6')]",Xpath
h5,,/html/body/div[5]/div/div[2]/div/div[3]/div/div/h5,Xpath
p,article,//p[@id='article'],Xpath
div,,/html/body/div[5]/div/div[2]/div/div[4],Xpath
div,,/html/body/div[5]/div/div[2]/div/div[4]/div,Xpath
a,,/html/body/div[5]/div/div[2]/div/div[4]/div/a,Xpath
img,,/html/body/div[5]/div/div[2]/div/div[4]/div/a/img,Xpath
div,,/html/body/div[5]/div/div[2]/div/div[4]/div/div,Xpath
h4,,/html/body/div[5]/div/div[2]/div/div[4]/div/div/h4,Xpath
a,Samsung galaxy s7,"//a[contains(text(), 'Samsung galaxy s7')]",Xpath
h5,,/html/body/div[5]/div/div[2]/div/div[4]/div/div/h5,Xpath
p,article,//p[@id='article'],Xpath
div,,/html/body/div[5]/div/div[2]/div/div[5],Xpath
div,,/html/body/div[5]/div/div[2]/div/div[5]/div,Xpath
a,,/html/body/div[5]/div/div[2]/div/div[5]/div/a,Xpath
img,,/html/body/div[5]/div/div[2]/div/div[5]/div/a/img,Xpath
div,,/html/body/div[5]/div/div[2]/div/div[5]/div/div,Xpath
h4,,/html/body/div[5]/div/div[2]/div/div[5]/div/div/h4,Xpath
a,Iphone 6 32gb,"//a[contains(text(), 'Iphone 6 32gb')]",Xpath
h5,,/html/body/div[5]/div/div[2]/div/div[5]/div/div/h5,Xpath
p,article,//p[@id='article'],Xpath
div,,/html/body/div[5]/div/div[2]/div/div[6],Xpath
div,,/html/body/div[5]/div/div[2]/div/div[6]/div,Xpath
a,,/html/body/div[5]/div/div[2]/div/div[6]/div/a,Xpath
img,,/html/body/div[5]/div/div[2]/div/div[6]/div/a/img,Xpath
div,,/html/body/div[5]/div/div[2]/div/div[6]/div/div,Xpath
h4,,/html/body/div[5]/div/div[2]/div/div[6]/div/div/h4,Xpath
a,Sony xperia z5,"//a[contains(text(), 'Sony xperia z5')]",Xpath
h5,,/html/body/div[5]/div/div[2]/div/div[6]/div/div/h5,Xpath
p,article,//p[@id='article'],Xpath
div,,/html/body/div[5]/div/div[2]/div/div[7],Xpath
div,,/html/body/div[5]/div/div[2]/div/div[7]/div,Xpath
a,,/html/body/div[5]/div/div[2]/div/div[7]/div/a,Xpath
img,,/html/body/div[5]/div/div[2]/div/div[7]/div/a/img,Xpath
div,,/html/body/div[5]/div/div[2]/div/div[7]/div/div,Xpath
h4,,/html/body/div[5]/div/div[2]/div/div[7]/div/div/h4,Xpath
a,HTC One M9,"//a[contains(text(), 'HTC One M9')]",Xpath
h5,,/html/body/div[5]/div/div[2]/div/div[7]/div/div/h5,Xpath
p,article,//p[@id='article'],Xpath
div,,/html/body/div[5]/div/div[2]/div/div[8],Xpath
div,,/html/body/div[5]/div/div[2]/div/div[8]/div,Xpath
a,,/html/body/div[5]/div/div[2]/div/div[8]/div/a,Xpath
img,,/html/body/div[5]/div/div[2]/div/div[8]/div/a/img,Xpath
div,,/html/body/div[5]/div/div[2]/div/div[8]/div/div,Xpath
h4,,/html/body/div[5]/div/div[2]/div/div[8]/div/div/h4,Xpath
a,Sony vaio i5,"//a[contains(text(), 'Sony vaio i5')]",Xpath
h5,,/html/body/div[5]/div/div[2]/div/div[8]/div/div/h5,Xpath
p,article,//p[@id='article'],Xpath
div,,/html/body/div[5]/div/div[2]/div/div[9],Xpath
div,,/html/body/div[5]/div/div[2]/div/div[9]/div,Xpath
a,,/html/body/div[5]/div/div[2]/div/div[9]/div/a,Xpath
img,,/html/body/div[5]/div/div[2]/div/div[9]/div/a/img,Xpath
div,,/html/body/div[5]/div/div[2]/div/div[9]/div/div,Xpath
h4,,/html/body/div[5]/div/div[2]/div/div[9]/div/div/h4,Xpath
a,Sony vaio i7,"//a[contains(text(), 'Sony vaio i7')]",Xpath
h5,,/html/body/div[5]/div/div[2]/div/div[9]/div/div/h5,Xpath
p,article,//p[@id='article'],Xpath
form,frm,//form[@id='frm'],Xpath
ul,,/html/body/div[5]/div/div[2]/form/ul,Xpath
li,,/html/body/div[5]/div/div[2]/form/ul/li[1],Xpath
button,prev2,//button[@id='prev2'],Xpath
li,,/html/body/div[5]/div/div[2]/form/ul/li[2],Xpath
button,next2,//button[@id='next2'],Xpath
script,,/html/body/script[1],Xpath
script,,/html/body/script[2],Xpath
script,,/html/body/script[3],Xpath
script,,/html/body/script[4],Xpath
script,,/html/body/script[5],Xpath
script,,/html/body/script[6],Xpath
div,footc,//div[@id='footc'],Xpath
div,fotcont,//div[@id='fotcont'],Xpath
div,,/html/body/div[6]/div/div[1],Xpath
div,,/html/body/div[6]/div/div[1]/div,Xpath
div,,/html/body/div[6]/div/div[1]/div/div,Xpath
h4,,/html/body/div[6]/div/div[1]/div/div/h4,Xpath
b,,/html/body/div[6]/div/div[1]/div/div/h4/b,Xpath
p,,/html/body/div[6]/div/div[1]/div/div/p,Xpath
div,,/html/body/div[6]/div/div[2],Xpath
div,,/html/body/div[6]/div/div[2]/div,Xpath
div,,/html/body/div[6]/div/div[2]/div/div,Xpath
h4,,/html/body/div[6]/div/div[2]/div/div/h4,Xpath
b,,/html/body/div[6]/div/div[2]/div/div/h4/b,Xpath
p,,/html/body/div[6]/div/div[2]/div/div/p[1],Xpath
p,,/html/body/div[6]/div/div[2]/div/div/p[2],Xpath
p,,/html/body/div[6]/div/div[2]/div/div/p[3],Xpath
div,,/html/body/div[6]/div/div[3],Xpath
div,,/html/body/div[6]/div/div[3]/div,Xpath
div,,/html/body/div[6]/div/div[3]/div/div,Xpath
h4,,/html/body/div[6]/div/div[3]/div/div/h4,Xpath
img,,/html/body/div[6]/div/div[3]/div/div/h4/img,Xpath
footer,,/html/body/footer,Xpath
p,,/html/body/footer/p,Xpath
